id;name;price;has_availability;availability_365;property_type
449218;Central, fully equipped, best price;49;1;197;Entire apartment
456165;Nice room in Madrid;30;1;0;Private room in guest suite
460898;Wide and nice apartment in Madrid;15;1;362;Private room in apartment
462072;Spectacular Penthouse 95 m² Latina;121;1;196;Entire apartment
464307;LOVELY SUNNY, DOWNTOWN, 2 BR APT.;85;1;104;Entire apartment
467552;DESIGN PENTHOUSE ALONSO MARTINEZ!;72;1;158;Entire apartment
468202;BEST STUDIO IN VERY CENTER MADRID FIBRE OPTIC WIFI;25;1;316;Entire apartment
470132;❤Quiet & Comfortable apartment **Superhost**;77;1;0;Entire apartment
473112;LUXURY DUPLEX CENTER A/A-WIFI;74;1;152;Entire apartment
479718;Wanda Stadium. Madrid. 20 minutes from Sol by tube;76;1;363;Private room in apartment
490610;Bed&Breakfast, 2 bedrooms for 3, at Latina;38;1;0;Private room in apartment
491070;NICE APT IN THE HEART OF MADRID !!!;70;1;364;Entire apartment
492221;CENTRICO EN EL BARRIO DE LA LATINA;69;1;227;Entire apartment
493238;ElRastro-Plaza Mayor. Air cond-WIFI;54;1;289;Entire apartment
497706;Peaceful apartment in Madrid Centre;60;1;260;Entire loft
499911;2 bedroom apartment downtown Madrid;97;1;258;Entire apartment
502918;Cozy room in penthouse in Madrid's heart;48;1;0;Private room in apartment
506956;Precioso  apartamento  céntrico  en Madrid;68;1;138;Entire apartment
507614;Malasaña: Amazing&extremely central 2BD flat;84;1;364;Entire apartment
510973;Habitación céntrica a 1 min de Plza Santa Ana;46;1;365;Private room in apartment
514917;Nice room, nice flat;31;1;363;Private room in apartment
515008;BIG BED & VERY NICE ROOM YELLOW.;17;1;319;Private room in apartment
515339;Cozy & central flat 35 m2 next to ROYAL PALACE;65;1;0;Entire apartment
518208;BIG BED & VERY NICE ORANGE ROOM.;21;1;349;Private room in apartment
518511;Central, cheery, light, historic;40;1;365;Private room in apartment
521329;Nice&perfect location singel room;20;1;364;Private room in apartment
521367;Penthouse with terrace in SOL;75;1;99;Entire apartment
522563;Beautiful loft in downtown Madrid;76;1;179;Entire apartment
524003;NEXT TO PLAZA MAYOR STATELY BUILDNG;65;1;365;Private room in apartment
526162;Single room in shared flat. Central;19;1;0;Private room in apartment
526513;Sol.  Your home in Madrid´s Heart;42;1;169;Entire apartment
529690;Architect's sunny La Latina retreat;100;1;328;Entire apartment
531677;Bright room in the Gran Via!!!!;34;1;179;Private room in apartment
536574;Junior Rent;70;1;0;Entire house
537234;Single Naranja en casa de artista;25;1;0;Private room in apartment
540937;MELROSEPIES apartment  A/C City Centre Free WIFI;55;1;174;Entire apartment
541406;Enjoy madrid with all your family;300;1;0;Entire house
544736;SUNNY & EASY ACCESIBLE BEDROOM;21;1;311;Private room in apartment
545174;MADRID - MONCLOA;40;1;0;Entire apartment
547050;LUMINOUS, cozy, next to Retiro Park;43;1;87;Private room in bed and breakfast
548353;Cozy at heart of Chamberi Madrid. 4;99;1;365;Entire apartment
548995;CHIC and CENTRAL apartment +WIFI;90;1;244;Entire apartment
549664;SPACIOUS ROOM WITH BATHROOM;50;1;180;Private room in house
552183;Nice apartment. historic center Mad;35;1;364;Private room in apartment
560941;Serrano apartment;134;1;241;Entire apartment
565152;wonderful aparment in lavapies !!;37;1;171;Entire apartment
566241;LOVELY APARTMENT CLOSE TO REINA SOFIA MUSEUM;50;1;0;Entire apartment
568190;Rooms to rent to students,tourists;20;1;0;Private room in apartment
570158;Stanza- Carina;20;1;336;Private room in apartment
572048;Rooms to rent in a shared flat;30;1;0;Private room in apartment
576487;House in Barajas, close to AIRPORT andIFEMA;78;1;236;Entire house
578731;CENTRIC, QUIET, BRIGHT APARTMENT.;9999;1;105;Entire apartment
586726;Good Karma - Madrid Rio Penthouse;86;1;173;Entire apartment
588382;Apartment in the center of Madrid;190;1;0;Entire house
588518;Penthouse with Stunning Balcony Near Plaza Mayor;165;1;277;Entire loft
590710;Single/Double private room;50;1;362;Private room in apartment
598771;Atocha Attic - Unbeatable Location;85;1;363;Entire apartment
599134;Cosy Plaza Mayor apartment in central Madrid;33;1;87;Private room in apartment
599885;ALEGRE Y LUMINOSA HABITACIÓN CENTRO;25;1;131;Private room in apartment
599977;CENTRAL STUDIO FLAT;37;1;197;Entire apartment
604150;El Rincón de Serrano;110;1;362;Entire apartment
604632;habitacion luminosa madrid-centro;23;1;365;Private room in apartment
605339;NiceStay_HighValue_Orange RoomWIFI;14;1;69;Private room in house
606923;Habitación+baño+cocina privada -Aravaca - Madrid;28;1;76;Private room in townhouse
607548;Attic with views and large Terrace;45;1;0;Private room in apartment
608742;Central and quiet.;49;1;76;Entire apartment
610675;Beautiful attic, best location.;70;1;0;Entire apartment
616027;Quiet room well located, Av.America;23;1;0;Private room in apartment
618576;Puerta del Sol - Palacio Real.;76;1;76;Entire apartment
625566;DUPLEX AT MADRID CENTER WITH POOL;60;1;0;Entire house
628394;Luxurious Duplex (3 heights) in Sol;279;1;104;Entire apartment
631737;Chamartin, Large, Warm, Calm & lux;75;1;132;Entire condominium
642863;Malasaña, Madrid, private room;46;1;89;Private room in apartment
643471;CHEAP & NICE B&B IN MADRID CENTRE;10;1;0;Private room in apartment
644656;Room NEXT TO THE METRO!!;25;1;365;Private room in apartment
647376;LA LATINA AMAZING NEIGHBORHOOD !!;58;1;364;Entire apartment
647891;Madrid Big large room 25m2;40;1;76;Private room in apartment
655514;Room for one or two people;30;1;365;Private room in apartment
656520;Studio in Lavapies , Madrid;65;1;74;Entire guest suite
659887;Habitación amplia y comoda centro Madrid;29;1;364;Private room in apartment
663761;Habitacion con litera para 2 o 3;23;1;0;Private room in house
668753;Sunny bdm. One of Madrid best areas;46;1;362;Private room in apartment
676566;Up to 4 people flat central Madrid;75;1;1;Entire apartment
678413;LOVELY & BOHEMIAN IN MADRID HEART;70;1;363;Entire apartment
680784;Habitacion Madrid Centro MUY BIEN SITUADO!;48;1;1;Private room in apartment
682889;Charming attic, center of Madrid;90;1;365;Entire apartment
683208;Elegant & Confortable apartment in the center;280;1;104;Entire apartment
683969;I share my flat.Two bedroom.Women.;20;1;0;Entire apartment
684564;ROYAL PALACE, OPERA, PLAZA MAYOR, LATINA, SOL;108;1;0;Entire apartment
685152;house-hotel;182;1;354;Entire house
689099;Lujo a tu alcance;40;1;0;Private room in apartment
691344;hab individual  en madrid;20;1;288;Private room in apartment
691458;Habitación doble  luminosa;37;1;365;Private room in apartment
692358;Amazing 11th floor with a/a for 8 people;88;1;179;Entire apartment
692855;LOVELY APT AT THE CENTER: LA LATINA;75;1;106;Entire apartment
694867;Tranquilo y cómodo apartamento en Madrid 5PAX;70;1;179;Entire apartment
695909;Madrid Central Modern Apartment;141;1;289;Entire apartment
696928;alquilo habitación;50;1;365;Shared room in apartment
697858;Cosy double room Madrid;35;1;0;Private room in apartment
704155;Apartment  in the center of Madrid;9142;1;0;Entire loft
708275;"""Great Velazquez Apartment & Area""";50;1;364;Entire apartment
709208;Apartment in the heart of Madrid;69;1;198;Entire apartment
710156;AIRPORT/IFEMA INDIVIDUAL BATHROOM;31;1;44;Private room in apartment
716292;Just in the centre: Malasaña/Chueca;81;1;258;Entire apartment
717313;Unique stylish near Royal Palace;85;1;298;Entire apartment
721377;40M2 LOFT GREAT FOR STUDENT 100M WF;50;1;306;Entire loft
723088;LOVELY FLAT IN PLAZA DE CHUECA;75;1;328;Entire apartment
724700;2 APT CENTRO MADRID, TIRSO DE MOLINA;89;1;0;Entire apartment
724901;Beautiful flat in Madrid Moncloa;150;1;365;Entire apartment
727588;CENTRIC NEAR TO M30, 2 BEDROOMS;44;1;334;Entire apartment
730347;APARTMENT FOR 6 PEOPLE LOCATED IN PLAZA MAYOR;140;1;227;Entire serviced apartment
730502;APARTMENT FOR 6 PEOPLE LOCATED IN THE CITYCENTRE;79;1;333;Entire apartment
730746;Beautiful flat in the center!;130;1;267;Entire apartment
733365;A place for your accommodation;27;1;318;Private room in apartment
734053;Independent room for students;50;1;365;Private room in house
738837;Agradable, funcional y luminoso (Tirso, La Latina);40;1;48;Entire apartment
743650;Habitación en Lavapies;26;1;364;Private room in apartment
745459;Bonita  habitación con doble cama;35;1;1;Private room in apartment
745664;WIFI B&B , BATH, TWO BEDS, CENTER, AWESOME.;35;1;289;Private room in apartment
747873;Stylish apartment in the city center;69;1;232;Entire apartment
748854;Host family in the center of Madrid;18;1;180;Private room in bed and breakfast
749957;Estudio en el Paseo del Pintor Rosa;40;1;270;Entire apartment
750257;Holiday Estudio  Madrid Center;75;1;346;Entire apartment
751527;Gran apartamento Plaza de España (ref. VT-2053);205;1;362;Entire apartment
751530;Downtown Apartment.PLAZA MAYOR.Wifi.Cozy.Cleansed.;59;1;361;Entire apartment
752424;2br Apartment La Latina / Rastro;110;1;0;Entire apartment
752515;WIFI. Big Bargain. Cosy. Charm. :);51;1;319;Entire apartment
752883;ALQUILO HABITACIÓN MUY LUMINOSA. MÍNIMO 6 MESES;45;1;358;Private room in apartment
754678;APARTMENT IN THE CENTRE OF MADRID.;135;1;330;Entire apartment
755535;SINGLE BED & VERY NICE GREEN ROOM.;21;1;349;Private room in apartment
755587;Centro/Apartm/Plaza Mayor/Wifi/cozy;59;1;319;Entire apartment
756707;★THE GEM. Steps away from everywhere★;71;1;259;Entire apartment
759575;Madrid center-Fuencarral pedestrian;91;1;66;Entire apartment
760482;Dúplex-Penthouse Cuzco-Castellana Smart;163;1;231;Entire apartment
761095;Compostela Suites Madrid Airport / 2BD;85;1;365;Entire apartment
761098;Compostela Suites Madrid Aeropuerto;57;1;1;Entire serviced apartment
761159;DOWNTOWN-APARTMENT-PLAZA MAYOR-COZY-WIFI-PARKING.;59;1;318;Entire apartment
761195;Compostela Suites Madrid Airport;57;1;365;Entire serviced apartment
762701;Madrid Apartment Esparteros;105;1;192;Entire apartment
763214;ROYAL PALACE - THE OLD TOWN  MADRID;63;1;288;Entire apartment
766160;Estudio en pleno centro de Madrid;55;1;364;Entire apartment
768311;Precioso estudio y terraza en el corazón de Madrid;59;1;1;Entire loft
769210;Amplia habitación 1 persona;34;1;88;Private room in apartment
770883;BEAUTIFUL HOUSE CENTER MADRID WIFI;76;1;365;Entire apartment
772646;Hermoso loft  Puerta del Sol centro - María;9856;1;105;Entire apartment
773608;Centric bright  large room in Malasaña;31;1;14;Private room in apartment
773990;Apartamento en Centro Madrid +WIFI;47;1;334;Entire apartment
774008;PADDLE POOL ROOM LUXURY;35;1;89;Private room in apartment
774356;single room in Malasaña, Madrid;44;1;89;Private room in house
779960;Sunny loft close to museums and Atocha;73;1;170;Entire apartment
780397;Nice flat in Madrid city centre;149;1;2;Entire apartment
781012;Single room in La Latina citycenter;35;1;364;Private room in apartment
783647;alquilo habitacion con baño;22;1;322;Private room in apartment
785834;Great location in front of Park;21;1;365;Private room in apartment
793618;Luxury home in an old Convent.;203;1;197;Entire apartment
793622;NEW BETWEEN GRAN VIA AND SOL (WIFI);65;1;252;Entire apartment
795877;Prime location 40 m PLaza MAYOR;58;1;365;Entire apartment
797030;Cosy flat with terrace near subway;46;1;232;Entire apartment
798091;Apartment in historic center Madrid;90;1;289;Entire apartment
804681;Habitacion cerca del aeropuerto Barajas;28;1;0;Private room in house
814586;Charmy Apartment Chueca's Square;82;1;350;Entire apartment
814647;Alojamiento en familia, Madrid;30;1;364;Private room in house
814731;Apartamento vistas a la Catedral.;17;1;365;Shared room in hut
814870;Cozy  room in Madrid - Atocha (3);20;1;259;Private room in apartment
817184;wonderful apartment in the center.;60;1;289;Entire apartment
821860;Madirid Historical Center.Bathroom;59;1;365;Private room in apartment
828095;Your Room in Madrid;32;1;364;Private room in apartment
831616;Charming Loft in Madrid center;65;1;335;Entire apartment
832102;Apartment in Chamberi;45;1;364;Entire apartment
833871;Beautiful apartment in the center;56;1;288;Entire apartment
834562;NICE FAMILY APARTMENT 120SQ. METER;93;1;122;Entire apartment
834675;El gusto por los nuevos encuentros;26;1;89;Private room in apartment
837183;PENTHOUSE STUDIO APARTMENT MADRID CENTER;125;1;365;Entire apartment
838698;Big cozy room in Atocha (2);25;1;364;Private room in apartment
838712;Cozy room - Atocha (1);21;1;150;Private room in apartment
840561;Cute and cozy apartment;114;1;0;Entire apartment
842078;GRAN VIA chic & chill  WIFI-A/C;66;1;362;Entire apartment
844856;BEST LOCATION IN CENTRAL MADRID SOL-MAYOR;10;1;90;Entire apartment
846558;Clean room in the heart of Madrid;50;1;76;Private room in apartment
847273;Apartamento en Madrid ideal grupos;140;1;144;Entire apartment
847724;YOUR CUTE PRIVATE ROOM & BATHROOM;60;1;365;Private room in apartment
849939;Madrid´s La Latina Violet Room;24;1;0;Private room in apartment
851311;Apartamento en Malasaña;65;1;226;Entire apartment
853804;Lovely Apartment near Gran vía;95;1;173;Entire apartment
855155;flat in Madrid close to the center;30;1;365;Private room in apartment
856669;PLAZA SANTA ANA;70;1;12;Entire apartment
858563;Habitación zona céntrica vistas par;76;1;364;Shared room in apartment
859800;Madrid Plenilunio;48;1;0;Private room in apartment
862462;BOHEMIAN APT MADRID OLD TOWN CENTRE;51;1;289;Entire apartment
862752;Room in central apartment, good breakfast included;33;1;89;Private room in apartment
864488;\\\\\\\\\\\\\LAST MINUTE APRIL!!!!!!!/////////;47;1;238;Entire apartment
867629;Habitación privada en plaza españa;211;1;365;Private room in apartment
868776;APARTAMENTO DE DISEÑO NUEVO EN EL RASTRO;53;1;114;Entire apartment
869674;Nice flat in Madrid City Center;101;1;365;Entire house
871387;Designer Loft unbeatable location;100;1;179;Entire loft
874029;B&B in a bright room, Madrid!+wiffi;30;1;199;Private room in apartment
883527;Cozy apartment in Madrids best area;42;1;0;Entire apartment
884856;Spacious flat w amazing sightseeing;46;1;288;Private room in apartment
886019;3 BR sunny apartment Madrid Center;105;1;208;Entire apartment
888289;Flat Right in the Center, with Screen Projector & Netflix;113;1;43;Entire apartment
891946;Lovely attic in Malasaña  WIFI;80;1;0;Entire apartment
892100;Madrid Rio;63;1;364;Entire apartment
892453;NICEStay_High Value(WhiteRoom)_WIFI;14;1;37;Private room in house
893056;Cozy and Quiet Apartment in Madrid;29;1;362;Room in aparthotel
893142;Quiet and comfortable in the Center of Madrid;29;1;335;Room in aparthotel
893195;Cozy and Design Apartment;50;1;328;Entire serviced apartment
896209;Studio apartment Chamartin station;50;1;295;Entire apartment
896588;ALQUILO HABITACION;80;1;365;Entire apartment
901897;YOUR CUTE APTO IN MADRID CENTER;132;1;349;Entire apartment
902946;LUMINOSO, ACOGEDOR EN PLENO CENTRO;51;0;0;Entire apartment
903707;Center of Madrid;64;1;104;Entire apartment
904741;Apartamento 2 céntrico Sol Madrid.;96;1;341;Entire apartment
904769;Apartamento 1 céntrico Sol Madrid.;60;1;322;Entire apartment
904775;Apartamento 3 céntrico Sol Madrid.;98;1;344;Entire apartment
912617;Habitacion Reservada Madrid;110;1;349;Private room in apartment
913536;Bedroom with bathroom in Malasaña;35;1;0;Private room in apartment
914057;Hoy Puede Ser Un Gran Día!!;21;1;349;Private room in apartment
919430;ROOM IN MALASAÑA, IN CENTER OF MADRID;19;1;365;Private room in apartment
922397;Estudio de diseño en el centro;60;1;198;Entire apartment
923140;PENTHOUSE with Lovely Terrace;130;1;354;Entire apartment
923645;MADRID CENTER RETIRO PARKING +WIFI;94;1;1;Entire apartment
925250;CoV19 Free Chic & Sunny Apt. Historic District-Sol;48;1;359;Private room in apartment
925339;CENTER just WALK & ENJOY LastMinute;50;1;134;Entire loft
926653;MORATÍN - Cozy upscale apt museum mile AC;64;1;172;Entire loft
930032;Zonamuseos. Loft  luminoso y alegre;65;1;365;Entire loft
933326;Agreeable flat with a centric location in Atocha;100;1;70;Entire apartment
936157;Amazing apartment at Plaza Oriente;129;1;328;Entire apartment
938410;Elegant apartment  in the best area;262;1;365;Entire apartment
938506;Deluxe 2 bedroom ap,up to 8 people;45;1;323;Entire apartment
940649;Spacious Apartment-Atocha-Prado;70;1;0;Entire apartment
944555;NEW STUDIO MADRID CITY CENTER SOL;76;1;53;Entire apartment
945003;HABITACIONES  CÉNTRICAS EN MALASAÑA;40;1;365;Private room in apartment
947169;Lovely apartment in Madrid, Puerta Cerrada Square;68;1;193;Entire apartment
948963;Sun+Balcon+Light+Relax+Green24hWIFI;21;1;89;Private room in house
958020;SPRING SALES  AT Madrid Malasaña;81;1;354;Entire apartment
970485;Puerta Alcala-5.2sqf 4-6 Dec availa;350;1;105;Entire apartment
970890;Madrid by day & by night;39;1;0;Shared room in apartment
977261;habitación en el Centro de Madrid!;22;1;26;Private room in apartment
979312;Habitacion Madrid Centro (Chamberi);35;1;365;Private room in apartment
981016;Bright Spacious Family Apartment;102;1;253;Entire apartment
981368;Modern Quiet Studio Loft;32;1;0;Entire apartment
981369;Big and Nice apartment with 2 Bedroom& 2 Bathrooms;92;1;13;Entire serviced apartment
983019;Room in pretty home Santa Rosa Street Madrid;32;1;1;Private room in apartment
983410;Santiago Bernabeu, best Madrid views, WI-Fi, ADSL;40;1;78;Entire apartment
985160;LowCost&Confortable flat in SOL;66;1;288;Entire apartment
989063;Preciosa casa equipada;198;1;365;Entire house
1003602;Fabulous apartment Madrid center;70;1;289;Entire apartment
1007532;APARTMENT 4PAX 2HB CENTRO GRAN VIA PUERTA DEL SOL;48;1;355;Entire apartment
1018471;Room BB, wifi  15´cent +sanchinarro;30;1;365;Private room in apartment
1020785;Habitación amplia en centro Madrid;30;1;363;Private room in apartment
1026242;Great Room in Argüelles—Moncloa;33;1;227;Private room in house
1037715;Apartamento de lujo en pleno centro;80;1;91;Entire apartment
1038867;ATTIC IN THE CALLE MAYOR;45;1;10;Entire apartment
1039376;Cozy apartment near Madrid airport;47;1;288;Entire apartment
1039454;CENTER OF MADRID WIFI+PARKING 5;104;1;364;Entire apartment
1044902;Masía el Ferrajón;112;1;0;Private room in house
1050948;400+ great reviews CAN´T be wrong. Superb location;46;1;220;Private room in apartment
1052457;BEDROOM LOOKING ONTO A NICE PATIO;50;1;166;Entire apartment
1053180;Cozy flat in the heart of Madrid;70;1;365;Entire apartment
1053662;Private room in Madrid;30;1;74;Private room in apartment
1055724;Habitación en piso  con encanto barrio  Chambéry;30;1;0;Private room in apartment
1056151;AN ART DESIGNED IN MADRID HEART;70;1;359;Entire apartment
1057560;BRIGHT APARTMENT IN THE CENTER -SOL;101;1;312;Entire apartment
1059084;Unbeatable location, high ceilings,;79;1;363;Entire apartment
1065075;DOUBLE ROOM IN NICE AND SUNNY APART;22;1;358;Private room in apartment
1065714;APARTMENT 4PAX 2ROOM GRAN VIA CENTRO PUERTA SOL;35;1;345;Entire apartment
1065918;APARTMENT4PAX CENTRO GRAN VIA PUERTA SOL  MALASAÑA;44;1;334;Entire apartment
