id;name;number_of_reviews;last_review;review_scores_rating;review_scores_accuracy;review_scores_cleanliness;review_scores_checkin;review_scores_communication;review_scores_location;review_scores_value;instant_bookable;reviews_per_month
6215979;HABITACION GRANDE 20 MTS CAMA KING;8;24/09/2016;97;9;9;10;10;9;9;0;11
6216745;Downtown*Outdoor*3Bdr*6P*Parking Opt*Wifi*Lift;63;05/04/2021;94;10;10;10;10;10;9;1;89
6221081;Beautiful room with private bathroom!;138;28/09/2020;92;10;9;10;9;10;9;0;226
6226275;☆ AMAZING location. 3 BEDROOMS ☝High ceiling /WiFi;110;28/03/2021;95;10;9;10;10;10;9;0;153
6229677;Habitación centro Madrid.;4;29/02/2020;100;10;10;10;10;10;10;0;17
6230119;Beautiful flat on Ortega y Gasset;8;28/12/2018;93;10;9;10;10;10;9;0;15
6244218;Madrid Bohemio/Bohemian Madrid;161;16/03/2020;96;10;10;10;10;10;10;0;223
6247825;L'acanthe;14;28/07/2019;97;10;10;10;10;10;10;0;2
6248112;Piso en Madrid;13;25/02/2018;88;10;9;10;10;9;9;0;18
6254495;Habitación doble con baño privado;62;14/10/2019;99;10;10;10;10;10;10;0;86
6257288;Kind bed with private bathroom;26;19/03/2020;97;10;10;9;10;9;9;0;36
6263965;Madrid chic !!!;166;21/02/2021;97;10;10;10;10;10;10;0;236
6272509;Apartamento en el centro de Madrid;0;01/12/1999;0;0;0;0;0;0;0;0;0
6279864;Apartment with terrace and views at Madrid;6;07/01/2020;100;10;9;10;10;10;10;0;12
6283743;3. Habitación exterior con balcón y baño privado;384;01/09/2020;92;9;8;9;9;10;9;1;53
6286250;GRAN CASA EN EL CENTRO DE MADRID!;50;30/03/2020;97;10;10;10;10;10;10;1;7
6287069;2. Habitación Céntrica Exterior con balcón;432;13/04/2021;90;9;9;10;9;10;9;1;615
6287397;6. Habitación Exterior con balcón en Madrid Centro;410;19/01/2021;92;10;9;10;9;10;9;1;567
6287501;habitación doble en el centro de madrid;0;01/12/1999;0;0;0;0;0;0;0;1;0
6289024;Nice quiet room in La Latina;9;25/02/2018;89;9;8;9;9;10;9;0;13
6290268;Habitación compartida centro Madrid;2;20/10/2018;100;10;10;10;10;10;10;0;5
6299647;Family friendly room in Madrid Room for Champions;32;09/02/2020;95;10;10;10;10;10;10;0;44
6303708;Modern, stylish & superb location;11;02/06/2019;98;10;10;10;10;10;10;0;16
6307542;Romantic Atico DISEÑO Madrid LA LATINA;41;10/01/2021;88;9;10;10;10;10;9;0;57
6308594;Penthouse with Private Pool;15;07/05/2019;100;10;10;10;10;10;10;0;21
6320287;Madrid center, PRIVATE bathroom, elevator, wifi!;49;16/09/2019;94;9;10;10;10;9;9;0;68
6320441;Amazing duplex penthhouse in the centre of Madrid;0;01/12/1999;0;0;0;0;0;0;0;0;0
6322780;Habitacion privada con 2 camas, armario empotrado,;12;01/11/2019;93;10;10;10;10;10;9;0;17
6331712;VIEWS!Romantic penthouse La Latina Oferta!;318;09/04/2021;94;9;9;10;10;10;9;1;443
6332843;Vacations in Madrid -Amazing room!;1;21/05/2015;0;0;0;0;0;0;0;0;1
