name,latitude,longitude
Malasaña: Amazing&extremely central 2BD flat,40.42323,-3.70434
Habitación céntrica a 1 min de Plza Santa Ana,40.41412,-3.70057
Nice room- nice flat,40.40445,-3.7398
BIG BED & VERY NICE ROOM YELLOW.,40.42297,-3.61193
Cozy & central flat 35 m2 next to ROYAL PALACE,40.4127,-3.7126
BIG BED & VERY NICE ORANGE ROOM.,40.42756,-3.61577
Central- cheery- light- historic,40.41012,-3.70484
Nice&perfect location singel room,40.45591,-3.68773
Penthouse with terrace in SOL,40.4154,-3.70255
Beautiful loft in downtown Madrid,40.41152,-3.70991
NEXT TO PLAZA MAYOR STATELY BUILDNG,40.41327,-3.70223
Single room in shared flat. Central,40.4057,-3.67605
Sol.  Your home in Madrid´s Heart,40.41604,-3.70834
Architect's sunny La Latina retreat,40.41004,-3.71233
Bright room in the Gran Via!!!!,40.42286,-3.70236
Junior Rent,40.39317,-3.69358
Single Naranja en casa de artista,40.40108,-3.69113
MELROSEPIES apartment  A/C City Centre Free WIFI,40.40954,-3.70096
Enjoy madrid with all your family,40.46905,-3.66637
SUNNY & EASY ACCESIBLE BEDROOM,40.45841,-3.67598
MADRID - MONCLOA,40.43474,-3.71233
LUMINOUS- cozy- next to Retiro Park,40.42159,-3.67713
Cozy at heart of Chamberi Madrid. 4,40.44599,-3.70334
CHIC and CENTRAL apartment +WIFI,40.4190,-3.67774
SPACIOUS ROOM WITH BATHROOM,40.37057,-3.61511
Nice apartment. historic center Mad,40.41309,-3.69775
Serrano apartment,40.42297,-3.69095
wonderful aparment in lavapies !!,40.40683,-3.69932
LOVELY APARTMENT CLOSE TO REINA SOFIA MUSEUM,40.40913,-3.6990
Rooms to rent to students-tourists,40.41016,-3.72863
Stanza- Carina,40.4470,-3.70291
Rooms to rent in a shared flat,40.42993,-3.70339
House in Barajas- close to AIRPORT andIFEMA,40.4739,-3.57583
CENTRIC- QUIET- BRIGHT APARTMENT.,40.42551,-3.70812
Good Karma - Madrid Rio Penthouse,40.42671,-3.72858
Apartment in the center of Madrid,40.41151,-3.70257
Penthouse with Stunning Balcony Near Plaza Mayor,40.4158,-3.70962
Single/Double private room,40.36701,-3.68667
Atocha Attic - Unbeatable Location,40.40661,-3.6952
Cosy Plaza Mayor apartment in central Madrid,40.41596,-3.70846
ALEGRE Y LUMINOSA HABITACIÓN CENTRO,40.42397,-3.69721
CENTRAL STUDIO FLAT,40.42675,-3.70683
El Rincón de Serrano,40.4312,-3.68502
habitacion luminosa madrid-centro,40.4570,-3.70436
NiceStay_HighValue_Orange RoomWIFI,40.40743,-3.74293
Habitación+baño+cocina privada -Aravaca - Madrid,40.45021,-3.78733
Attic with views and large Terrace,40.39366,-3.66535
Central and quiet.,40.41744,-3.70873
Beautiful attic- best location.,40.41769,-3.69974
Quiet room well located- Av.America,40.43922,-3.67574
Puerta del Sol - Palacio Real.,40.41771,-3.70925
DUPLEX AT MADRID CENTER WITH POOL,40.40349,-3.70418
Luxurious Duplex (3 heights) in Sol,40.4173,-3.70208
Chamartin- Large- Warm- Calm & lux,40.47143,-3.6748
Malasaña- Madrid- private room,40.42245,-3.70504
CHEAP & NICE B&B IN MADRID CENTRE,40.41256,-3.70373
Room NEXT TO THE METRO!!,40.42432,-3.6399
LA LATINA AMAZING NEIGHBORHOOD !!,40.41163,-3.70822
Madrid Big large room 25m2,40.43188,-3.71386
Room for one or two people,40.42432,-3.6399
Studio in Lavapies - Madrid,40.40969,-3.70457
Habitación amplia y comoda centro Madrid,40.40264,-3.68309
Habitacion con litera para 2 o 3,40.37093,-3.62298
