id;name;host_id;host_since;host_response_time;host_acceptance_rate;host_is_superhost;host_listings_count;host_identity_verified
45587014;Piso cómodo en el centro y cerca del aeropuerto;138993475;06/07/2017;within a day;;0;2;0
45589741;centro de madrid piso completo para ti.;283728325;07/08/2019;within an hour;;1;2;1
45592310;Relatores 101, de un dormitorio con balcón para 5;183684887;11/04/2018;within an hour;;0;17;1
45594461;Amazing Modern Studio in the heart of Salamanca;4063153;05/11/2012;within an hour;;0;11;1
45595439;Se alquila habitación zona canillas.;339985301;03/03/2020;Sin definir;;0;1;1
45596024;habitación doble con llave, retiro;101185286;25/10/2016;within a day;;0;1;0
45601459;Nuevo Apartamento junto a la Gran Vía de Madrid;368117770;18/09/2020;within an hour;;1;0;1
45603067;ALQUILO HABITACIÓN EN MADRID. 450€ y 600€.;369125833;24/09/2020;Sin definir;;0;1;0
45603891;Habitación  a 15min del centro con terraza lujosa;326677122;12/01/2020;within an hour;;0;1;0
45605248;Magnifica habitación para disfrutar Madrid;101614723;28/10/2016;Sin definir;;1;2;1
45605718;Habitación por meses;48607932;09/11/2015;a few days or more;;0;1;1
45607850;Alba 112, apartamento de un dormitorio;183684887;11/04/2018;within an hour;;0;17;1
45612845;Relatores 103, de dos dormitorios;183684887;11/04/2018;within an hour;;0;17;1
45612869;Relatores 104, apartamento de dos dormitorios;183684887;11/04/2018;within an hour;;0;17;1
45612901;Apartamento Alba 111, de un dormitorio;183684887;11/04/2018;within an hour;;0;17;1
45612930;Alba 113, apartamento de un dormitorio;183684887;11/04/2018;within an hour;;0;17;1
45612948;Alba 112, apartamento de un dormitorio;183684887;11/04/2018;within an hour;;0;17;1
45613004;Apartamento Góngora, 301 con vistas;183684887;11/04/2018;within an hour;;0;17;1
45613025;Apartamento Cervantes 302, con vistas;183684887;11/04/2018;within an hour;;0;17;1
45613059;Habitación Quevedo 303;183684887;11/04/2018;within an hour;;0;17;1
45613075;Apartamento Chueca Terrace 121, de dos dormitorios;183684887;11/04/2018;within an hour;;0;17;1
45613090;Habitación Vega 304;183684887;11/04/2018;within an hour;;0;17;1
45613116;Estudio Lorca 305;183684887;11/04/2018;within an hour;;0;17;1
45613140;Estudio Bécquer 306 en Calle Atocha;183684887;11/04/2018;within an hour;;0;17;1
45616266;Habitacion cerca de universidades y hospitales;327122566;13/01/2020;within an hour;;0;4;0
45617364;Disfruta del centro de Madrid, todo cerca!!;117474038;21/02/2017;a few days or more;;0;2;1
45618857;Estudio en mejor zona de Madrid Chamberi;329651519;21/01/2020;a few days or more;;0;36;1
45618938;Q;70001720;02/05/2016;within an hour;;0;0;1
45619226;Estudio con patio luminoso Chamberi Madrid centro;329651519;21/01/2020;a few days or more;;0;36;1
45620292;Cozy, Safe, and Cheapest stay in downtown Madrid!;369552171;27/09/2020;a few days or more;;0;1;1
45620364;Apartamento Estudio Chamberi Nuevos Ministerios;329651519;21/01/2020;a few days or more;;0;36;1
45621473;Estudio Privado en Rios Rosas;342126256;20/03/2020;within a day;;0;43;1
45627566;"SILVA 5 · ""ARENAL SUITES GRAN VIA"" (5) 1 BEDROOM+1 BATHROOM";197974523;25/06/2018;within an hour;;1;1;1
45628045;Bright apartment Oshun in Madrid Norte E;330794542;26/01/2020;within an hour;;0;5;1
45628197;Comoda y amplia habitacion en el centro de madrid;316605917;11/12/2019;Sin definir;;0;3;1
45628500;"""ARENAL SUITES GRAN VÍA"" (7) ESTUDIO";197974523;25/06/2018;within an hour;;1;1;1
45628683;Habitacion Privada Apartamento;191080519;22/05/2018;Sin definir;;0;2;1
45629419;Cozy flat of 130 m² in Avenida de América;369195701;25/09/2020;within an hour;;0;0;1
45629591;"""ARENAL SUITES PUERTA DEL SOL"" (1) 1 BED + 1 BATH";197974523;25/06/2018;within an hour;;1;1;1
45629909;"""ARENAL SUITES PUERTA DEL SOL"" (5) 3 ROOMS +1 BATH";197974523;25/06/2018;within an hour;;1;1;1
45631922;Bonito y luminoso piso;315283111;07/12/2019;Sin definir;;0;0;0
45633709;Espacioso estudio junto a Madrid Río;125480550;12/04/2017;within an hour;;1;7;1
45638601;Piso 3 dormitorios cama grande Malasaña Chamberi;329651519;21/01/2020;a few days or more;;0;36;1
45638798;Piso 3 domitorios cama grande Chamberi Madrid;342126256;20/03/2020;within a day;;0;43;1
45645121;Broad and quiet in the Historic Madrid;4735460;17/01/2013;within a few hours;;0;18;1
45646120;Golden Loft en la latina totalmente equipado;329629714;21/01/2020;within an hour;;1;12;1
45646130;AMAZING LOFT - Duplex, 3 bdr;328591188;17/01/2020;within a few hours;;0;1;0
45646549;HABITACION DISEÑO ESTRENAR 20 min C. UNIVERSITARIA;2146727;15/04/2012;within an hour;;0;4;1
45647845;"Estudio  de lujo_""A""  en la  Puerta del Sol";254267435;09/04/2019;within an hour;;0;14;1
45651792;Nuevo Apartamento junto a la Gran Vía de Madrid;368117770;18/09/2020;within an hour;;1;0;1
45651813;CHUECA I;28038703;20/02/2015;within an hour;;0;124;1
45655269;Piso Familiar en Chamberí 3 habs;342126256;20/03/2020;within a day;;0;43;1
45655283;Habitacion grande y luminosa;13698445;30/03/2014;within a few hours;;1;2;0
45657709;Hogar muy familiar;244422615;20/02/2019;Sin definir;;0;0;0
45663194;Habitación Privada amplias con zonas en común;191080519;22/05/2018;Sin definir;;0;2;1
45663731;Habitación de Hotel /  Private Double room hotel;254267435;09/04/2019;within an hour;;0;14;1
45664531;Habitación Doble Privada  hostal en Puerta del SOL;254267435;09/04/2019;within an hour;;0;14;1
45667540;La Latina 9 Madrid Center Santa Ana;53295015;04/01/2016;within a day;;0;9;1
45668882;"Estudio de Lujo ""B"" en la Puerta del SOL";254267435;09/04/2019;within an hour;;0;14;1
45669269;Studio in Madrid, with WiFi;369983177;30/09/2020;Sin definir;;0;0;1
45669282;Apartment with one bedroom in Madrid, with WiFi;369983222;30/09/2020;Sin definir;;0;0;1
45669288;Apartment with one bedroom in Madrid, with furnished terrace and WiFi;369983249;30/09/2020;Sin definir;;0;0;1
45669289;Apartment with one bedroom in Madrid, with WiFi;369983252;30/09/2020;Sin definir;;0;0;1
45669292;Apartment with one bedroom in Madrid, with wonderful city view, balcony and WiFi;369983272;30/09/2020;Sin definir;;0;0;1
45669348;Bonita habitación barrio Salamanca;43279198;03/09/2015;Sin definir;;0;1;0
45672231;* Study Center Plaza Mayor-Sol Wifi-A/C *;367507535;14/09/2020;within an hour;;1;0;1
45672367;LIFE IN WHITE HGE APARTMENTS;349146780;08/06/2020;within an hour;;0;27;1
45672768;BUENAVISTA 3D HGE APARTMENTS;349146780;08/06/2020;within an hour;;0;27;1
45673155;Piso Tranquilo de 2 dormitorios con 2 en suites;354859349;08/07/2020;within an hour;;0;6;1
45673242;Luminoso exterior en plena Malasaña;354859349;08/07/2020;within an hour;;0;6;1
45673709;Cozy & bright flat + typical Madrid construction;311991816;25/11/2019;within a few hours;;0;1;1
45674320;Habitación en Madrid Centro - Wifi - 1;109447199;02/01/2017;within a day;;0;3;1
45674396;Habitación en alquiler para chica;357838666;22/07/2020;within a few hours;;0;1;0
45675064;Friendly room for budget travelers;77736183;14/06/2016;within an hour;;0;11;1
45677559;Habitación ext Izq Méndez;83218276;12/07/2016;within an hour;;0;4;1
45679625;Habitación individual disponible;179180085;18/03/2018;Sin definir;;0;1;1
45682004;Habitación cerca de Sol cama amplia, ventana grand;161283576;04/12/2017;within an hour;;0;8;1
45682926;Alquilo habitación, por dias o meses;310499981;18/11/2019;a few days or more;;0;1;0
45685762;CALIDA HABITACION ESTRENAR 20 min C. UNIVERSITARIA;2146727;15/04/2012;within an hour;;0;4;1
45685766;HABITACION AMPLIA ESTRENAR 20 min C. UNIVERSITARIA;2146727;15/04/2012;within an hour;;0;4;1
45686981;Nice house and good location;322651374;30/12/2019;Sin definir;;0;0;1
45688181;Habitación privada en piso de lujo José Abascal;21535831;19/09/2014;within a day;;0;0;1
45690135;Crash Pad Madrid center for solo adventurer;77736183;14/06/2016;within an hour;;0;11;1
45692982;PLAZA MAYOR APARTMENT (C/CAVA BAJA) 1;96804915;26/09/2016;within an hour;;0;20;1
45693322;Luminoso apartamento de tres dormitorios;31774454;23/04/2015;within a few hours;;1;3;1
45695299;Habitación   TRIPLE  Privada  en  Puertal del sol;254267435;09/04/2019;within an hour;;0;14;1
45695454;Habitación  Familiar/cuadruple  Privada  en Sol;254267435;09/04/2019;within an hour;;0;14;1
45698740;"""ARENAL SUITES PRECIADOS""  ESTUDIO";197974523;25/06/2018;within an hour;;1;1;1
45698879;APARTAMENTO PRECIADOS;197974523;25/06/2018;within an hour;;1;1;1
45700591;La reina de Chueca;69081954;26/04/2016;within a day;;0;0;1
45700670;Luminosa acojedora habitacion cerca del centro;348163746;31/05/2020;within a few hours;;0;0;0
45700902;Habitación privada a 10 min de Atocha;358319403;25/07/2020;Sin definir;;0;1;0
45701437;Fabulous Penthouse APT in Plaza Mayor/Cava Baja;96804915;26/09/2016;within an hour;;0;20;1
45701522;Piso al lado del metro se da factura;300310563;05/10/2019;within a day;;0;6;1
45705643;Apartemento TIRSO DE MOLINA .;303225286;19/10/2019;within a few hours;;0;1;1
45707097;Habitación/room   Hotel privada  Individual en SOL;254267435;09/04/2019;within an hour;;0;14;1
45709822;"""Espacio tranquilo y cómodo""";262314430;16/05/2019;Sin definir;;0;1;0
